Index,IWM.Open,IWM.High,IWM.Low,IWM.Close,IWM.Volume,IWM.Adjusted
5/26/00,17.06682955,17.13711162,16.9848338,17.13711162,74800,36.337234
5/30/00,17.38309887,17.76965026,17.38309887,17.76965026,57600,37.678452
5/31/00,17.82821865,18.06249222,17.82821865,17.83407399,36000,37.815071
6/1/00,18.20012925,18.23819739,18.20012925,18.23819739,7000,38.671955
6/2/00,19.06401323,19.18700535,19.06401323,19.18700535,29400,40.683807
6/5/00,19.14015064,19.32756949,19.09329592,19.11672328,48400,40.534763
6/6/00,19.41835181,19.64383881,19.24557374,19.30414214,151800,40.932163
6/7/00,19.18700535,19.32756949,19.01130017,19.32756949,131000,40.98185
6/8/00,19.53841571,19.53841571,19.28071478,19.28071478,91400,40.882484
6/9/00,19.46813363,19.62041146,19.45641996,19.62041146,41600,41.602779
6/12/00,19.67897985,19.67897985,19.02301385,19.03765464,85200,40.367123
6/13/00,18.99079992,19.28071478,18.81216764,19.28071478,168200,40.882484
6/14/00,19.43885094,19.43885094,19.18700535,19.18700535,43200,40.683807
6/15/00,19.06986857,19.21043271,18.88537682,19.21043271,26800,40.733471
6/16/00,19.29242846,19.30414214,19.1050096,19.1050096,30200,40.50993
6/19/00,19.21043271,19.58527042,19.12257862,19.58527042,59200,41.528255
6/20/00,19.61455312,19.74340658,19.53841571,19.71412088,47000,41.801498
6/21/00,19.56073098,19.86563446,19.56073098,19.83045329,66800,42.024139
6/22/00,19.88908857,19.88908857,19.23237338,19.23237338,139600,40.75671
6/23/00,19.42000629,19.42000629,18.95092402,19.10337576,235800,40.483372
6/26/00,19.17960313,19.3379169,19.0916487,19.3379169,93600,40.980373
6/27/00,19.36723604,19.53727686,19.03301342,19.03301342,112800,40.33424
6/28/00,19.11510281,19.58418509,19.11510281,19.51382275,170600,41.353157
6/29/00,19.42000629,19.45518747,19.15028399,19.20891927,212200,40.707012
6/30/00,19.22064633,19.39362173,19.06233256,19.39362173,1171800,41.098454
7/3/00,19.34964395,19.66627449,19.32618984,19.66627449,15800,41.676224
7/5/00,19.55486895,19.56073098,19.37602852,19.44346041,138800,41.204052
7/6/00,19.44932244,19.67213952,19.26755455,19.67213952,154600,41.688648
7/7/00,19.6750711,19.87149649,19.6750711,19.79527212,71800,41.949593
7/10/00,19.78354506,19.99463208,19.78354506,19.92426974,44800,42.222965
7/11/00,19.88908857,20.00049711,19.83045329,19.90081563,253200,42.173267
7/12/00,20.00635914,20.29953557,19.98290503,20.29953557,45200,43.018227
7/13/00,20.31712465,20.36403288,20.26435439,20.36403288,102600,43.154907
7/14/00,20.46957939,20.46957939,20.21744617,20.38162496,54800,43.192177
7/17/00,20.39921705,20.48716848,20.34644379,20.45198731,46600,43.341286
7/18/00,20.31712465,20.31712465,20.1001756,20.1001756,235400,42.595749
7/19/00,20.03567528,20.03567528,19.74836389,19.74836389,35400,41.850208
7/20/00,19.9359968,20.07672148,19.9359968,20.07672148,150400,42.546032
7/21/00,19.95945091,19.95945091,19.52554981,19.52554981,150600,41.37801
7/24/00,19.63109332,19.63109332,19.20012266,19.24116999,37000,40.775356
7/25/00,19.39362173,19.39362173,19.16201104,19.27928161,36800,40.856136
7/26/00,19.13855693,19.24410044,18.93919696,19.24410044,15800,40.781586
7/27/00,19.20598882,19.20598882,18.71638288,18.71638288,275000,39.66325
7/28/00,18.82485684,18.82485684,18.34111706,18.38802528,171600,38.9674
7/31/00,18.48184174,18.85710756,18.27075471,18.85710756,166400,39.961479
8/1/00,18.71638288,18.78674522,18.62842845,18.73397496,263400,39.700523
8/2/00,18.62256642,18.86883462,18.5756582,18.76329111,388600,39.762653
8/3/00,18.39975234,18.78674522,18.39975234,18.75156405,1084200,39.737808
8/4/00,18.97437813,18.98024016,18.73397496,18.8453805,570400,39.93663
