Index,SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
10/21/96,48.94436396,49.18043209,48.70836861,48.83711319,879200,48.837109
10/22/96,48.79419833,48.80491126,48.47230047,48.4937943,848900,48.493786
10/23/96,48.38647075,48.67616667,48.19339026,48.65467285,735900,48.654663
10/24/96,48.65467285,48.74050257,48.2148113,48.23630512,379300,48.236309
10/25/96,48.22552422,48.45087943,48.1504754,48.27921999,568300,48.279198
10/28/96,48.32213485,48.56884312,47.93590109,47.95732213,975400,47.957329
10/29/96,48.10756054,48.46159236,47.86078429,48.34355589,815900,48.343544
10/30/96,48.4937943,48.4937943,48.12898158,48.18260936,495400,48.182606
10/31/96,48.24701805,48.66545375,48.19339026,48.64395992,726300,48.643963
11/1/96,48.74050257,48.85853423,48.24701805,48.47230047,821300,48.472301
11/4/96,48.53670916,48.79419833,48.42938561,48.79419833,1608400,48.794186
11/5/96,48.95507688,49.29839578,48.94436396,49.07310854,764000,49.073097
11/6/96,49.15893827,50.03872934,49.11602341,50.01723551,1665000,50.017246
11/7/96,49.86706989,50.32835247,49.8026612,50.13527198,1446300,50.135269
11/8/96,50.1459801,50.4249631,49.95289961,50.4141822,1355700,50.414181
11/11/96,50.29621851,50.47859088,50.27472469,50.36055441,655900,50.360546
11/12/96,50.50001192,50.53221386,50.13527198,50.21038879,719900,50.210396
11/13/96,50.26401657,50.51079282,50.13527198,50.43567602,481900,50.435654
11/14/96,50.25330365,50.76828199,50.23180982,50.76828199,558800,50.768291
11/15/96,50.89702658,51.15451575,50.61804358,50.8326179,2250900,50.832626
11/18/96,50.92916054,50.98285631,50.62875651,50.84333082,1518200,50.843346
11/19/96,50.9077395,51.21885166,50.8326179,51.20814354,1029300,51.208118
11/20/96,51.19743062,51.50854757,51.02577117,51.29397326,730000,51.293968
11/21/96,51.35830916,51.3905111,51.06868603,51.21885166,653000,51.218845
11/22/96,51.29397326,51.6694941,51.29397326,51.61579834,965100,51.615799
11/25/96,51.6694941,52.29172321,51.55146244,52.27030217,2058800,52.270275
11/26/96,52.37755294,52.65653593,51.81965973,52.09864272,2861800,52.098637
11/27/96,52.22738731,52.31321703,51.9376962,52.0020321,872000,52.002026
11/29/96,52.18447245,52.33463807,52.08786182,52.19518537,1073400,52.195175
12/2/96,52.13077668,52.27030217,51.76603675,52.21660641,1350600,52.216595
12/3/96,52.22738731,52.58141913,51.3261752,51.3261752,1777800,51.326149
12/4/96,51.41200493,51.54074951,50.87553276,51.46563271,2365100,51.465626
12/5/96,51.3905111,51.5943773,51.17593679,51.3261752,1697700,51.326149
12/6/96,50.29621851,51.3261752,49.88849093,51.02577117,3401800,51.025753
12/9/96,51.28326034,51.78745779,51.20814354,51.77674486,1864600,51.776726
12/10/96,51.88406841,51.95911724,51.47634083,51.52996861,1331600,51.529972
12/11/96,50.55370768,51.24034548,50.33913337,51.05790513,1847900,51.057926
12/12/96,51.34759624,51.41200493,50.0816442,50.21038879,2540200,50.210396
12/13/96,50.16747392,50.52150574,49.71683148,50.33913337,1678300,50.339119
12/16/96,50.46787796,50.59662255,49.48083613,49.69541044,1831100,49.695389
12/17/96,49.54517203,50.31763955,49.35209154,50.09235712,2023200,50.092354
12/18/96,50.38204823,50.65025033,50.30693143,50.489299,1666800,50.489311
12/19/96,50.93994144,51.58366438,50.73608005,51.52996861,2269300,51.529972
12/20/96,51.83716271,52.24682086,51.57840816,51.64306023,1543200,51.643059
12/23/96,51.81556326,51.89105404,51.28729341,51.51368295,1263700,51.513672
12/24/96,51.64306023,51.89105404,51.61070004,51.89105404,633000,51.891048
12/26/96,52.05279151,52.32231163,52.00966575,52.28994661,1384300,52.289928
12/27/96,52.28994661,52.46244965,52.09591727,52.35467182,410400,52.354664
12/30/96,52.52717486,52.52717486,51.85868902,51.90181478,694100,51.901844
12/31/96,51.94494054,52.00966575,50.95304808,50.95304808,1378100,50.953045
1/2/97,51.3196536,51.3196536,50.19838386,51.08242535,2031900,51.082432
1/3/97,51.3196536,51.83716271,51.11479037,51.81556326,2123200,51.81554
1/6/97,51.81556326,52.05279151,51.27652784,51.36277936,1374100,51.36277
1/7/97,51.36277936,52.07431782,51.14715056,51.9880663,939000,51.988071
1/8/97,52.26842031,52.28994661,51.5352824,51.5352824,1802200,51.535278
1/9/97,51.79403695,52.35467182,51.70778543,51.96653999,1415700,51.966537
1/10/97,51.23340208,52.61342638,51.23340208,52.52717486,2369500,52.527153
1/13/97,52.78592942,52.78592942,52.19293436,52.45168891,1364600,52.451691
1/14/97,52.9153067,53.40045562,52.78592942,53.10933604,2111200,53.109341
1/15/97,52.936833,53.27107834,52.6996779,52.97995876,1583900,52.979942
1/16/97,53.1524618,53.33573041,52.78592942,53.19558756,1308400,53.195591
1/17/97,53.27107834,53.6484446,53.20635313,53.51906733,1604000,53.519062
1/20/97,53.6484446,53.88559971,53.45434212,53.58371939,1889900,53.58374
1/21/97,53.38969005,54.19824559,53.20635313,54.01497699,2785800,54.014992
1/22/97,54.03657644,54.40310882,53.73469612,54.40310882,1201600,54.403103
1/23/97,54.55408555,54.98534314,53.06621028,53.6484446,2601100,53.648449
1/24/97,53.73469612,53.75622243,52.95843246,52.95843246,2176000,52.958427
1/27/97,53.04468397,53.29260465,52.6996779,52.80745573,2108500,52.807453
1/28/97,53.56219309,53.71309667,52.44092334,52.95843246,4376000,52.958427
1/29/97,53.04468397,53.47594157,52.85058149,53.47594157,1122700,53.475933
1/30/97,53.73469612,54.18748003,53.41121636,54.16595372,2126300,54.165928
1/31/97,54.46783403,54.79124066,54.0797022,54.10122851,3208100,54.101208
2/3/97,54.3168573,54.43547384,54.06886832,54.2629708,755000,54.262962
2/4/97,54.33845675,54.65110264,54.12282796,54.59721131,654100,54.597187
2/5/97,54.67262895,54.83436642,53.21718701,53.57295866,2255400,53.572964
2/6/97,53.66997091,53.96109049,53.41121636,53.92872547,2483100,53.92873
2/7/97,54.38158251,54.68346283,53.66997091,54.66186338,2321000,54.661865
2/10/97,54.68346283,54.87749217,54.11199408,54.14435427,1670000,54.144341
2/11/97,54.35998306,54.76971435,53.90719916,54.76971435,1664300,54.769695
2/12/97,54.76971435,55.6429951,54.6942284,55.54597801,2675400,55.545979
2/13/97,55.76160681,56.27911592,55.67535529,56.14973865,1104800,56.149727
2/14/97,56.02036137,56.21439071,55.82625888,56.02036137,1112900,56.020359
2/18/97,56.1281392,56.53787048,55.71848105,56.49474472,833100,56.494732
2/19/97,56.34376799,56.58099624,55.99876192,56.11737846,648100,56.117382
2/20/97,55.9125104,56.13890476,55.30874977,55.43812705,1193900,55.438126
2/21/97,55.48125281,55.72924662,55.29798903,55.4597265,1844400,55.459724
2/24/97,55.17937249,56.14973865,55.17937249,56.11737846,787300,56.117382
2/25/97,56.17126495,56.25751647,55.80473257,56.16050422,1653900,56.160492
2/26/97,56.10661289,56.1928644,54.94221738,55.61063008,1597800,55.610634
2/27/97,55.76160681,55.76160681,54.76971435,54.78047992,1813100,54.78046
2/28/97,54.68346283,55.11472042,54.55408555,54.61873762,2961200,54.618702
3/3/97,54.33845675,55.0284689,54.29533099,54.98534314,1210400,54.985325
3/4/97,55.13624673,55.28722346,54.57561186,54.68346283,1478700,54.683453
3/5/97,55.00686945,55.61063008,54.82360568,55.61063008,1254800,55.610634
3/6/97,55.63222953,55.82625888,55.11472042,55.28722346,1528500,55.287216
3/7/97,55.50285226,55.99876192,55.37347498,55.78313312,1859300,55.783119
3/10/97,55.84785833,56.36536744,55.57826989,56.36536744,1074900,56.365349
3/11/97,56.4084932,56.44078508,56.06348713,56.06348713,624600,56.063484
3/12/97,56.10661289,56.1281392,55.40576686,55.56750432,1055600,55.567501
3/13/97,55.37347498,55.52437856,54.55408555,54.70498914,2514100,54.704975
3/14/97,54.95298295,55.22249825,54.68346283,54.98534314,1642700,54.985325
3/17/97,54.68346283,55.22249825,54.12282796,55.13624673,3013500,55.136223
3/18/97,55.20097194,55.27638958,54.3168573,54.54325167,1352500,54.543232
3/19/97,54.40310882,54.85596587,53.8640734,54.35998306,1510000,54.359962
3/20/97,54.33845675,54.51095979,53.73469612,54.0797022,1808200,54.07967
3/21/97,54.5032605,54.54655141,54.26512376,54.33009684,2810600,54.330067
3/24/97,54.37338776,55.12014009,54.09196011,55.08765112,2145600,55.087646
3/25/97,54.95777838,55.39068752,54.3949965,54.54655141,2125800,54.546551
3/26/97,54.76300598,55.17423295,54.5032605,54.78461473,1335300,54.784592
3/27/97,54.97946055,54.97946055,52.74994178,53.33440583,2898500,53.3344
3/31/97,53.26943274,53.42098765,52.12226024,52.20884207,4270700,52.20882
4/1/97,52.12226024,52.77162395,51.98151213,52.54429401,3210900,52.54427
4/2/97,52.38200572,52.59846029,51.55947836,51.60276927,2672700,51.602745
4/3/97,51.55947836,52.03567841,51.3863147,51.8841235,2284200,51.884109
4/4/97,51.60276927,52.54429401,51.36463254,52.53348721,3706700,52.533474
4/7/97,52.77162395,53.07466034,52.73913983,52.73913983,2596200,52.739151
4/8/97,52.72833303,53.18285092,52.53348721,53.11795126,1822700,53.117928
4/9/97,53.33440583,53.36682137,52.53348721,52.68504212,2453200,52.68504
4/10/97,52.70665086,53.02049406,52.42529664,52.4901963,1996500,52.490192
4/11/97,51.9923875,52.16555115,50.82353282,50.82353282,4221600,50.823509
4/14/97,51.07240294,51.57028516,50.78024191,51.50531207,3988500,51.505318
4/15/97,52.12226024,52.39281252,51.60276927,52.38200572,2760400,52.382004
4/16/97,52.20884207,53.06378497,52.12226024,52.98807851,2273300,52.988068
4/17/97,52.98807851,53.33440583,52.6417512,52.77162395,1386000,52.77161
4/18/97,53.20453308,53.32353046,52.81491486,53.03136943,1702100,53.031361
4/21/97,53.16124217,53.26943274,52.27374173,52.68504212,2809400,52.68504
4/22/97,52.71745766,53.84302142,52.6417512,53.84302142,3215000,53.843006
4/23/97,53.78892371,54.04866919,53.46427857,53.89718771,2047700,53.897152
4/24/97,54.05947599,54.22183285,53.247824,53.62656685,2689900,53.626553
4/25/97,53.37769674,53.47508536,52.93391223,53.00968726,1606200,53.009663
4/28/97,52.98807851,53.89718771,52.90149669,53.52917823,1666500,53.529152
